index,Fei,Yixin,Kpu,text
8571,1,1,0,"disappointing prince vaults found to contain 37,000 hours of billy joel covers"
6331,0,0,0,sacred sites
21243,1,1,1,attending 'price is right' taping apparently sailors' best idea for shore leave
12185,1,1,1,mugger can't believe crap victim has on mp3 player
21271,0,0,0,study finds majority of non-shark-related fears completely unjustified
9268,1,1,1,dump trumpers think they need just 57 votes to win
17262,0,0,0,one pot wonders: 7 delicious dinners without the mess
8529,0,0,0,u.s. army deserter bowe bergdahl faces life in prison as sentencing hearing begins
24300,1,1,0,report: 94% of south dakotans unprepared for mt. rushmore faces coming alive and eating everyone
23247,0,0,0,bts just became the first k-pop band to go gold
24276,1,1,1,"100% of teenagers huge fucking assholes,' confirms study by sobbing, red-faced scientists"
22823,0,0,1,super fan attends screening of 'infinity war' dressed as marvel's vp of marketing
24253,0,0,0,michael b. jordan responds to trolls saying a black man can't play johnny storm
1016,1,1,1,nation not about to start giving a shit about canadian politics
25851,0,0,0,a guide to sex at 50 and beyond
7629,0,0,0,what the new superbug means for the fight against antibiotic resistance
11534,1,1,0,why carly fiorina's presidential run makes sense -- and is pure folly
995,1,1,0,prison warden vows to take away el chapo's tunnel privileges if captured
26557,1,1,1,environmentalists say they're averting climate disaster. conservatives say it's terrorism.
4297,0,0,0,"despite regional differences, women across the globe face same career advancement challenges"
161,1,0,0,creating leverage where none seems to exist
5675,0,0,0,sweat-stain-dating technology unlocks age of assistant managers
6873,1,1,0,"doctor, patient have wildly different definitions of word 'hope'"
12990,0,0,0,the true meaning of the ray rice scandal
9692,1,1,1,peer group forces man to have opinion on 'weird al'
7989,0,1,1,white house begins christmas season with ceremonial lighting of cross
20227,1,1,1,vicious carnivorous animals painted on baby's crib
13417,1,1,1,trump brags that he won most of the women's vote in 2016. he didn't.
10805,1,1,1,joe wilson getting bored with no-longer-covert wife
11653,1,1,0,nyc officials assure public most puddles of bodily fluid on streets not contaminated with ebola
1021,0,0,0,ryan seacrest sells 'squad goals' series to cbs
19457,0,0,0,"the dea is rushing to criminalize another herb, and congress is silent"
23939,1,1,0,wal-mart shoppers mocked by target shopper
3943,1,0,1,real valentines for exhausted parents
1585,1,1,0,report: many jobs lack benefits to cut
26531,0,0,0,the 10 best cities to throw a pool party
3152,0,0,0,a time capsule of us
14541,1,1,1,of course hair stylist remembers gina
8226,1,1,1,arby's ceo arrested with trunk full of stolen horsey sauce
12206,0,1,1,rick santorum suggests planned parenthood is just as racist as the confederate flag
17159,1,1,1,roommates still don't know each other well enough to not speak
15787,0,0,0,pope francis' silent response to the filipino girl: what he might have been thinking
26054,0,0,0,enda: the nightmare scenario in which gopers push a bad bill that gay groups dropped
23483,1,1,1,expense-account wizard transforms prostitute into color copies
21870,1,0,1,scott disick and 18-year-old lindsay vrckovnik are apparently just friends
22619,0,0,0,how the alt-right is using sex and camp to attract gay men to fascism
25939,1,0,0,these new 'ahs: freak show' teasers are legitimately terrifying
23425,0,0,0,6 exercises that will transform your body
2612,1,1,1,fda cancels bacon recall after finding u.s. population already ate it all
23897,0,1,1,"fast food drive-thru just cow carcass, bucket for money"
11016,1,1,1,undertaker's last few embalmings before summer vacation always a little sloppy
10233,0,0,0,a stranger was bleeding in the parking lot. this man saved his life with a shirt and a bear hug
8433,0,0,1,protecting our children when contending with threats of violence
10253,0,0,0,will smith created the best instagram hype for the eagles' super bowl
10555,1,1,0,bear's plan to break into man's home foiled by cat door
8792,0,0,0,religious freedom in practicing the platinum rule
10627,1,0,0,recovery expressions that blew my mind
21777,0,0,0,world's first successful penis transplant results in pregnancy
14502,1,1,0,cash-strapped school district furloughs hundreds of nonessential children
8838,0,0,1,chance the rapper leads chicago residents in a 'parade to the polls'
3890,0,0,0,the surprising benefit of going through hard times
3556,1,0,1,the oil lobby has a pretty predictable response to obama's oil tax proposal
11394,0,0,0,marcus mariota featured in inspiring beats by dre ad
17912,0,0,0,what we found at 'the end of the tour'
1267,0,1,0,unlikely team of allies unite to take on airport gate agent
24118,1,1,1,environmental study finds air in chicago now 75% bullets
1899,1,1,0,rumsfeld wearing same shirt for fourth straight day
21042,0,0,0,why every man should try to be more like idris elba
3005,0,0,0,groups working to make the world wide web live up to its name
19118,1,1,0,5-year-old reluctantly lets crying mom sleep in his bed again
189,0,0,0,mountain lion tracked by scientists is found dead near malibu road
26382,0,0,0,chris murphy: congress giving 'quiet endorsement' to murders
25551,1,1,0,560-pound man says he's riding across country to save his life -- but is he scamming america?
2747,0,0,0,long-shot push to force senate to confirm merrick garland fails in federal court
18431,0,1,0,sotomayor to add ballistics expertise to already deadly supreme court
24233,0,1,0,"school aide fed pet treats to 75 students, claimed they were cookies: report"
18942,0,1,1,hail mary! broncos fan sacked by security guard on christmas
25658,1,1,1,cnn holds morning meeting to decide what viewers should panic about for rest of day
8666,0,0,1,where bernie sanders' health care crusade might go from here
6396,0,0,1,andy cohen and taylor swift are over their katy perry drama
19769,1,1,1,dreamcatcher on rearview mirror protects sleeping driver
20939,1,0,0,republicans holding out hope new chief of staff can restore order to chaotic white house
17568,0,0,0,tina fey is worried about what the internet is doing to society
6420,1,1,0,area man having one of his little bursts of energy where he tries to write a song
5051,1,1,0,elderly man can't wait for senility to erase lifetime of regretful memories
5311,0,0,0,the first 'rogue one' trailer is a 'star wars' nerd's dream
2433,0,0,0,ellie goulding and james corden perform 'love me like you do' remix
23333,0,1,1,pro-sanders phillie phanatic places masking tape reading 'silenced' over honker
769,1,1,1,fox news struggling to attract younger 60-75 demographic
1685,0,0,1,hillary clinton wins northern mariana islands democratic caucus
8322,0,1,0,"nothing ordinary' about multinational chain of pepsico-owned, mexican-themed fast food outlets"
16023,0,0,0,here's how people are commemorating veterans day
11363,0,0,0,jennifer lopez's new video is a sad premonition of the future of feminism
14423,1,1,1,8th grader caked in makeup probably really confident
21962,0,0,0,empire' releases pitbull & ne-yo songs from season 2
4426,0,0,0,the one coworker every employee needs
16850,1,1,1,new voting booths lock americans inside for 45 minutes so they can consider decision before casting ballot
6265,0,0,1,gop lawmaker: gay rep. should have stayed in the closet
22118,0,0,0,let food truly be your fuel
11284,0,0,0,want to be healthier? flirt more
11964,1,0,0,guard dog in training notices very suspicious-looking dog in mirror
21575,1,0,1,college newspaper staff know exactly how they would respond if editorial freedom challenged
5390,1,1,1,"nation curious after discovering mysterious, eccentric benefactor paid off country's debt in full"
860,0,0,0,14 photos that show the special bond between moms and daughters
15795,1,0,1,toddler makes convincing case for being afraid of horse
23654,0,0,0,daily meditation: by the riverside